ID,Index,cv,mode,nbr,ndsi,ndvi,rcvmax
1_70_82,0,4815192,82,-0.033530768,-0.02471072,0.043085072,0.862614301
1_70_83,0,5147768,82,-0.052082647,0.001038065,0.048449278,0.900999009
1_70_84,0,5245071,82,-0.07719086,-0.007272869,0.006555074,0.926800648
1_70_85,0,4981261.75,82,-0.062496148,-0.003812879,0.022791693,0.880344432
1_70_86,0,4981261.75,82,-0.062496148,-0.003812879,0.022791693,0.880344432
1_70_87,0,4878896.5,82,-0.048314,-0.023970127,0.028806975,0.878314815
1_70_88,0,4623166.25,82,-0.051433917,-0.020626457,0.044785395,0.898319682
1_70_89,0,4536204.75,82,-0.054325365,-0.0216009,0.033967145,0.891353554
1_70_90,0,4125910,82,-0.05642105,-0.02644181,0.024842808,0.863585418
1_70_91,0,4053851.75,82,-0.054614883,-0.02923842,0.028385062,0.866665035
1_70_92,0,3355301,82,-0.05791613,-0.03222731,0.039228775,0.65859795
1_70_93,0,3438979.25,82,-0.06352253,-0.032242537,0.047224358,0.675695547
1_70_94,0,3353828.75,82,-0.045577552,-0.033591665,0.053288467,0.671465764
1_70_95,0,3404633,82,-0.04753315,-0.035563227,0.051948927,0.677618529
1_70_96,0,3404633,82,-0.04753315,-0.035563227,0.051948927,0.677618529
1_70_97,0,3620716,82,-0.055110347,-0.040813975,0.046273164,0.708248567
1_70_98,0,3691249.75,82,-0.06538026,-0.03133604,0.035441943,0.710124197
1_70_99,0,3744512,82,-0.05757905,-0.027713437,0.037889298,0.73350921
1_70_100,0,3830265.25,82,-0.066077046,-0.026040718,0.035871718,0.740034744
1_70_101,0,4052429.5,82,-0.03913003,-0.025749644,0.038938385,0.752800872
1_70_102,0,4052429.5,82,-0.03913003,-0.025749644,0.038938385,0.752800872
1_70_103,0,3989838,82,-0.027998995,-0.030344604,0.050516777,0.749946973
1_70_104,0,4712142.5,82,-0.012795013,-0.01392558,0.06176555,0.828095487
1_70_105,0,5021720.75,82,-0.055920668,-0.01479665,0.034701355,0.894189207
1_70_106,0,5292416.25,82,-0.07911326,-0.005641005,0.018072225,0.932735272
1_70_107,0,5248736.5,82,-0.074870415,-0.018672,0.001974248,0.927104928
1_70_108,0,5248736.5,82,-0.074870415,-0.018672,0.001974248,0.927104928
1_70_109,0,5053973,82,-0.070454784,-0.018551124,0.015246793,0.9009161
1_70_110,0,4889732.75,82,-0.04930759,-0.020331226,0.030815298,0.881779592
1_70_111,0,4643296.5,82,-0.056878813,-0.024035094,0.039022073,0.9106005
1_70_112,0,4585269.75,82,-0.06267582,-0.03223294,0.03332652,0.91335258
1_70_113,0,4246493.25,82,-0.06643282,-0.03857725,0.03538161,0.904878027
1_70_114,0,4090214.5,82,-0.061909802,-0.032221097,0.027055556,0.885076346
1_70_115,0,3215771.5,82,-0.05590134,-0.036246423,0.053075526,0.659919
1_70_116,0,3371758.75,82,-0.074622564,-0.03113581,0.042720255,0.676987246
1_70_117,0,3183963.75,82,-0.04968059,-0.028570006,0.052183546,0.646530094
1_70_118,0,3211388.75,82,-0.053682312,-0.035965256,0.038714256,0.655256059
1_70_119,0,3211388.75,82,-0.053682312,-0.035965256,0.038714256,0.655256059
1_70_120,0,3266389,82,-0.06101403,-0.03225724,0.037147667,0.658543184
1_70_121,0,3269209,82,-0.06055445,-0.026777962,0.04271466,0.64915123
1_70_122,0,3573626.5,82,-0.047937013,-0.023201961,0.036089927,0.696615369
1_70_123,0,3710541.5,82,-0.05779208,-0.028734077,0.041809063,0.729674678
1_70_124,0,4445599.25,82,-0.023709172,-0.017565712,0.040582635,0.793973643
1_70_125,0,4445599.25,82,-0.023709172,-0.017565712,0.040582635,0.793973643
1_70_126,0,4514487.25,82,-0.02872759,-0.030644886,0.03385432,0.813210966
1_70_127,0,5313433,82,-0.019520026,0.003033676,0.038043465,0.879458279
1_70_128,0,5436211.75,82,-0.03771041,-0.006808117,0.033634763,0.929567509
1_70_129,0,5826368.25,82,-0.065861955,0.009678831,0.01646007,0.971730821
1_70_130,0,5817199,82,-0.048486724,-0.006055172,0.035257846,0.980159578
1_70_131,0,5817199,82,-0.048486724,-0.006055172,0.035257846,0.980159578
1_70_132,0,5674567.75,82,-0.04977893,-0.007721981,0.03551739,0.966706158
1_70_133,0,5410190.5,82,-0.023116043,0.001469083,0.052437186,0.92556402
1_70_134,0,5074799.25,82,-0.042127594,-0.006303986,0.04405442,0.939906672
1_70_135,0,5165479.25,82,-0.056214646,-0.010226232,0.04426719,0.971111238
1_70_136,0,4605128.75,82,-0.060805544,-0.02734394,0.041436892,0.94075664
1_70_137,0,4605128.75,82,-0.060805544,-0.02734394,0.041436892,0.94075664
1_70_138,0,3199145.5,82,-0.064756475,-0.024705734,0.03689306,0.655712839
1_70_139,0,3255640.75,82,-0.0757494,-0.021950021,0.03160851,0.660597847
1_70_140,0,3126179.5,82,-0.047075026,-0.029074078,0.052249752,0.640592171
1_70_141,0,3185820.25,82,-0.057950553,-0.027141526,0.038500737,0.650841839
1_70_142,0,3185820.25,82,-0.057950553,-0.027141526,0.038500737,0.650841839
1_70_143,0,3222424.75,82,-0.06571974,-0.023946654,0.03279239,0.653668369
1_70_144,0,3150362,82,-0.05880299,-0.022844959,0.026780399,0.628060726
1_70_145,0,3483942.25,82,-0.039697234,-0.01860849,0.038334373,0.675032763
1_70_146,0,3652701.25,82,-0.04880679,-0.027922157,0.045078713,0.716550912
1_70_147,0,4342488,82,-0.012460091,-0.01898993,0.04659472,0.775976069
1_70_148,0,4342488,82,-0.012460091,-0.01898993,0.04659472,0.775976069
1_70_149,0,4445484.25,82,-0.028189655,-0.026367621,0.034292895,0.803898139
1_70_150,0,5181946,82,-0.010906549,-6.61E-04,0.048458245,0.879219623
1_70_151,0,5291904.75,82,-0.03233253,-0.007370117,0.029105112,0.909194864
1_70_152,0,5668272,82,-0.04156348,0.005665927,0.045212943,0.952788128
1_70_153,0,5642981.75,82,-0.0266653,-0.001283856,0.06129473,0.953541098
1_70_154,0,5642981.75,82,-0.0266653,-0.001283856,0.06129473,0.953541098
1_70_155,0,5562304,82,-0.041809063,-0.006945722,0.04122803,0.95997247
1_70_156,0,5407611.25,82,-0.02772616,-0.001221247,0.045850717,0.934554093
1_70_157,0,5149834.5,82,-0.055253085,-0.004679218,0.032447785,0.950546231
1_70_158,0,5234576.5,82,-0.063754,-0.014203142,0.039390016,0.993739915
1_70_159,0,4697663.75,82,-0.072156206,-0.027842352,0.040257305,0.968383308
1_70_160,0,4697663.75,82,-0.072156206,-0.027842352,0.040257305,0.968383308
1_70_161,0,3361304,82,-0.084818326,-0.026043441,0.021405542,0.682491643
1_70_162,0,3354111.5,82,-0.08329406,-0.0189744,0.031866897,0.678530882
1_70_163,0,3280284.5,82,-0.06194722,-0.020072365,0.044526953,0.658239555
1_70_164,0,3273073.75,82,-0.066173494,-0.027640972,0.035322253,0.669382441
1_70_165,0,3273073.75,82,-0.066173494,-0.027640972,0.035322253,0.669382441
1_70_166,0,3187159.5,82,-0.06322085,-0.019433813,0.041134812,0.646771207
1_70_167,0,3086760.25,82,-0.052295268,-0.022496015,0.03726391,0.622954348
1_70_168,0,3585103.25,82,-0.02234883,-0.030733442,0.046104565,0.687718182
1_70_169,0,3741810.5,82,-0.031248074,-0.03601434,0.05279191,0.722056085
1_70_170,0,4557221.75,82,-0.008475599,-0.010345948,0.04538821,0.796509287
1_70_171,0,4557221.75,82,-0.008475599,-0.010345948,0.04538821,0.796509287
1_70_172,0,4667122,82,-0.024205785,-0.007606288,0.034062423,0.813471277
1_70_173,0,5547268.25,82,-0.022650963,0.00180512,0.029245228,0.916230943
1_70_174,0,5779114.5,82,-0.04103381,-0.002580044,0.035026778,0.972743359
1_70_175,0,6081678.5,82,-0.06168439,0.005484886,0.028923832,1.003897027
1_70_176,0,5866533.75,82,-0.04142718,0.006142002,0.038362354,0.971992318
1_70_177,0,5866533.75,82,-0.04142718,0.006142002,0.038362354,0.971992318
1_70_178,0,5729230.25,82,-0.034006957,-0.005932937,0.052580792,0.994306336
1_70_179,0,5834925,82,-0.044874795,-0.004807801,0.048125498,1.022596612
1_70_180,0,5712759.75,82,-0.06895027,0.003145132,0.03554872,1.030773283
1_70_181,0,5662715.5,82,-0.06697366,-0.007012256,0.037468266,1.043411207
1_70_182,0,5161777.5,82,-0.08251255,-0.010189172,0.036199097,1.013137245
1_70_183,0,5161777.5,82,-0.08251255,-0.010189172,0.036199097,1.013137245
1_70_184,0,3390448,82,-0.08683418,-0.026125764,0.02849689,0.692261818
1_70_185,0,3398618.5,82,-0.08833024,-0.022665992,0.032027096,0.692159173
1_70_186,0,3365166,82,-0.07203896,-0.02052907,0.034432765,0.670025085
1_70_187,0,3315045,82,-0.06055703,-0.034783777,0.051265933,0.686665517
1_70_188,0,3315045,82,-0.06055703,-0.034783777,0.051265933,0.686665517
1_70_189,0,3064788,82,-0.044738684,-0.018713092,0.05329673,0.622233423
1_70_190,0,3074778.25,82,-0.046146814,-0.022917286,0.04449653,0.617439539
1_70_191,0,3586278,82,-0.017100584,-0.02651285,0.06202123,0.686550538
1_70_192,0,3780833,82,-0.035844453,-0.040993493,0.050660618,0.733247743
1_70_193,0,4543127.75,82,-0.009282895,-0.010515077,0.037328433,0.787943357
1_70_194,0,4543127.75,82,-0.009282895,-0.010515077,0.037328433,0.787943357
1_70_195,0,4485019,82,-0.009242089,-0.01031267,0.032980476,0.790172833
1_70_196,0,5575419.5,82,-0.023037639,-0.001607782,0.02536465,0.918827877
1_70_197,0,5978173.5,82,-0.053533953,-0.014179803,0.03825886,1.015400604
1_70_198,0,6227302.25,82,-0.07767845,-0.005875012,0.02212454,1.051759006
1_70_199,0,5923367.75,82,-0.050553292,0.006315891,0.025314633,0.984112396
1_70_200,0,5923367.75,82,-0.050553292,0.006315891,0.025314633,0.984112396
1_70_201,0,5731729.5,82,-0.040045034,-0.00205562,0.03767083,0.996240939
1_70_202,0,5902817,82,-0.059584398,-0.008237967,0.024195677,1.029694783
1_70_203,0,5726104.75,82,-0.06915892,-0.00411772,0.035076298,1.040980906
1_70_204,0,5674293.75,82,-0.06761042,-0.003515842,0.0431201,1.047468444
1_70_205,0,5190414.75,82,-0.08947286,-0.010391227,0.030883485,1.025487511
1_70_206,0,5190414.75,82,-0.08947286,-0.010391227,0.030883485,1.025487511
1_70_207,0,3394308.25,82,-0.07588195,-0.020848999,0.02794638,0.685085997
1_70_208,0,3507297,82,-0.08262661,-0.026001226,0.030520674,0.716351531
1_70_209,0,3359528.25,82,-0.06966177,-0.022283128,0.035987247,0.674332698
1_70_210,0,3359528.25,82,-0.06966177,-0.022283128,0.035987247,0.674332698
1_70_211,0,3410115.75,82,-0.06786566,-0.031390216,0.049573723,0.695585702
1_70_212,0,3272107.5,82,-0.05866479,-0.026697032,0.04460371,0.661347317
1_70_213,0,3218095.75,82,-0.04840298,-0.027425455,0.05144215,0.649892446
1_70_214,0,3580549.5,82,-0.009982065,-0.027947662,0.048677795,0.671145699
1_70_215,0,3707781,82,-0.01852059,-0.03930939,0.057161145,0.714950033
1_70_216,0,4513473.5,82,0.01931414,-7.76E-04,0.049597148,0.757842132
1_70_217,0,4513473.5,82,0.01931414,-7.76E-04,0.049597148,0.757842132
1_70_218,0,4603732.25,82,0.012996551,-0.01026546,0.056697957,0.78983456
1_70_219,0,5695529.25,82,-0.00161783,0.007049467,0.05329251,0.915144907
1_70_220,0,6219180.25,82,-0.04118624,-0.014343937,0.057896435,1.034248479
1_70_221,0,6272842.25,82,-0.0701333,-0.005741384,0.031800244,1.050859506
1_70_222,0,6165805.5,82,-0.059301928,0.010865047,0.038757835,1.016229874
1_70_223,0,6165805.5,82,-0.059301928,0.010865047,0.038757835,1.016229874
