system:index,NDVI,NDVI_count,NDVI_disp,confidence,cropland,cultivated_land
607,0.532856166,3,0.002246476,91,152,1
608,0.519580424,5,0.068638507,100,176,1
609,0.529671133,9,0.06507759,100,176,1
611,0.459698856,7,0.02708668,94,176,1
612,0.440335691,3,0.004436602,92,176,1
613,0.272147089,5,0.00370838,100,61,2
614,0.540029526,2,0.004265462,100,176,1
616,0.588581681,11,0.056671158,100,24,2
617,0.55088681,14,0.017345722,93,176,1
618,0.681043565,4,0.063965947,92,152,1
621,0.766618431,13,0.086750638,90,36,2
623,0.764824688,20,0.123005776,100,24,2
624,0.389962375,11,0.008246628,91,176,1
626,0.683523655,4,0.089780896,100,24,2
627,0.361534745,10,0.008682138,100,61,2
630,0.598077893,12,0.030184559,100,176,1
635,0.825925946,23,0.153686131,100,1,2
636,0.563138008,6,0.039826776,100,190,1
638,0.365818471,8,0.02827511,90,61,2
640,0.807326376,5,0.211721599,92,24,2
643,0.338132977,5,0.015785201,100,24,2
646,0.815300524,12,0.198368971,94,4,2
648,0.757963061,20,0.164145851,94,1,2
649,0.306000829,4,0.02320929,100,61,2
650,0.764417171,5,0.307995801,100,4,2
651,0.64817971,10,0.019149485,100,176,1
652,0.800158978,6,0.209733472,100,1,2
653,0.433790416,11,0.022375763,91,176,1
655,0.851557851,10,0.274273489,100,24,2
658,0.25894931,6,0.002059115,100,61,2
660,0.409853607,15,0.025978397,100,61,2
663,0.473491758,7,0.031621547,100,176,1
665,0.522752106,10,0.026061647,100,176,1
666,0.556562126,11,0.036313084,100,176,1
668,0.713398814,5,0.16434052,100,24,2
670,0.828290045,7,0.146333172,100,24,2
672,0.794702649,12,0.072573533,100,24,2
673,0.45717144,3,0.008276551,91,176,1
674,0.503396928,5,0.035142638,94,152,1
675,0.499319136,12,0.024012596,100,176,1
676,0.388649434,20,0.016224702,90,121,1
677,0.707150459,5,0.095012833,100,24,2
678,0.625406981,16,0.052635114,100,152,1
679,0.79989332,12,0.221428428,100,4,2
680,0.797991097,6,0.2475849,100,4,2
682,0.788390279,5,0.246902863,100,4,2
683,0.735011101,12,0.134726666,100,1,2
684,0.404150724,8,0.027014031,100,61,2
686,0.518470407,5,0.056171286,100,176,1
689,0.584443152,10,0.030376377,93,176,1
690,0.381137013,7,0.038507832,90,176,1
691,0.808179677,13,0.108649406,93,24,2
694,0.471723735,4,0.042333158,100,176,1
695,0.598407328,5,0.021244108,94,152,1
696,0.709172845,5,0.133646278,100,4,2
697,0.860988677,7,0.172514877,100,24,2
699,0.633223236,6,0.07458861,100,24,2
700,0.441985041,6,0.033042148,93,24,2
702,0.347678572,4,0.012074873,100,24,2
706,0.557166278,9,0.022839218,90,176,1
707,0.522787869,10,0.049405838,92,176,1
708,0.778176308,4,7.35E-04,90,190,1
709,0.643363178,3,9.87E-04,96,152,1
711,0.829509139,11,0.13623014,100,24,2
713,0.779265106,4,0.152051334,100,24,2
714,0.222522661,13,6.76E-04,93,61,2
716,0.565640569,6,0.017200124,100,176,1
717,0.43007949,5,0.017300195,90,152,1
718,0.226348519,9,0.00202963,100,61,2
720,0.578064859,6,0.100930555,100,121,1
721,0.425277412,12,0.017422079,100,205,2
722,0.380470127,8,0.010887975,91,176,1
724,0.822684109,12,0.222808145,100,1,2
725,0.548313439,4,0.005313937,94,176,1
726,0.534775436,5,0.056034521,100,176,1
728,0.634746492,15,0.080419568,93,176,1
729,0.644100606,10,0.025453612,100,176,1
732,0.54689604,3,0.01034682,100,176,1
736,0.662661791,5,0.100331016,100,24,2
737,0.370042384,13,0.015777366,92,176,1
740,0.516392171,16,0.017787958,92,176,1
741,0.496893346,4,0.014702394,93,176,1
744,0.554231822,6,0.054914473,100,176,1
745,0.740225196,16,0.025564909,90,36,2
746,0.602605879,11,0.016787931,100,24,2
748,0.811136007,4,0.181425369,100,1,2
749,0.356376171,4,0.021185588,100,61,2
752,0.541877747,7,0.025255074,100,176,1
753,0.696471155,5,0.098016764,100,24,2
754,0.602968097,10,0.049959185,93,24,2
755,0.766451895,9,0.121800122,100,4,2
756,0.627134442,14,0.126212749,100,4,2
757,0.760583639,5,0.172919278,100,1,2
758,0.371569306,24,0.01971426,100,176,1
759,0.522543609,10,0.020791824,100,24,2
760,0.373641223,18,0.019108669,91,176,1
761,0.328138083,3,0.033235217,92,61,2
762,0.399516821,5,0.022775584,100,176,1
763,0.582758367,5,0.002516157,100,176,1
764,0.74512434,5,0.177551326,100,24,2
767,0.461290896,4,0.006361787,100,176,1
768,0.67443794,10,0.034618153,92,176,1
770,0.53790009,3,0.001029414,100,176,1
773,0.249432564,6,0.002186681,100,61,2
774,0.488779426,8,0.007676085,100,176,1
775,0.530823767,4,6.46E-04,91,176,1
777,0.647117257,9,0.158151932,100,24,2
778,0.524569929,14,0.021718671,100,152,1
779,0.617730141,8,0.031216329,100,121,1
780,0.533818841,12,0.041485331,100,176,1
781,0.647583485,11,0.040275379,100,176,1
783,0.634385467,16,0.096340295,100,24,2
784,0.502534926,11,0.018932238,94,152,1
785,0.675496042,5,0.098424854,100,24,2
787,0.24098514,4,0.005283318,100,61,2
788,0.758033395,12,0.088675722,94,24,2
789,0.590894163,4,0.004546295,94,176,1
790,0.769801795,12,0.235472601,92,4,2
791,0.70021528,5,0.017078284,100,190,1
792,0.683716476,6,0.100406677,100,176,1
794,0.472868204,4,0.030530058,94,176,1
799,0.578064263,4,0.006811179,94,152,1
800,0.413209468,17,0.020850229,100,61,2
801,0.685347736,12,0.111655429,100,1,2
803,0.4808878,11,0.013772073,100,176,1
806,0.638980091,5,0.197188159,100,1,2
808,0.552578092,4,0.108505694,94,176,1
809,0.362898052,13,0.01397319,100,152,1
813,0.446006209,5,0.02343097,100,176,1
814,0.603435755,13,0.033827713,100,176,1
817,0.528465867,10,0.046931581,100,176,1
819,0.419888049,8,0.02842699,100,176,1
820,0.495549947,4,0.008645574,94,176,1
821,0.2413349,3,7.97E-04,100,24,2
822,0.337178767,18,0.047238349,100,122,1
828,0.860346675,16,0.1057741,100,24,2
830,0.682261646,4,0.092526133,100,24,2
831,0.528242409,3,0.064292518,100,176,1
832,0.552020907,6,0.062439792,100,176,1
834,0.547894001,3,0.005484246,100,176,1
