,N1,N0,NEG,,P1,P0,POS,cv,rcv,ndvi,ndsi
neg2013,97,5372,0.982263668,pos2013,1354,474,0.740700219,1.5,0.75,0.5,1.5
neg2113,97,5372,0.982263668,pos2113,1354,474,0.740700219,1.5,1,0.5,1.5
neg1313,98,5371,0.982080819,pos1313,1354,474,0.740700219,1,2,0.5,1.5
neg0413,102,5367,0.981349424,pos0413,1354,474,0.740700219,0.75,2.5,0.5,1.5
neg0313,127,5342,0.976778204,pos0313,1354,474,0.740700219,0.75,2,0.5,1.5
neg1213,417,5052,0.923752057,pos1213,1354,474,0.740700219,1,1.5,0.5,1.5
neg0213,482,4987,0.911866886,pos0213,1354,474,0.740700219,0.75,1.5,0.5,1.5
neg1013,786,4683,0.856280856,pos1013,1354,474,0.740700219,1,0.75,0.5,1.5
neg1113,786,4683,0.856280856,pos1113,1354,474,0.740700219,1,1,0.5,1.5
neg0013,934,4535,0.829219236,pos0013,1354,474,0.740700219,0.75,0.75,0.5,1.5
neg0113,934,4535,0.829219236,pos0113,1354,474,0.740700219,0.75,1,0.5,1.5
neg3413,41,5428,0.9925032,pos3413,1352,476,0.739606127,2,2.5,0.5,1.5
neg3313,42,5427,0.992320351,pos3313,1352,476,0.739606127,2,2,0.5,1.5
neg3213,59,5410,0.989211922,pos3213,1352,476,0.739606127,2,1.5,0.5,1.5
neg3013,63,5406,0.988480527,pos3013,1352,476,0.739606127,2,0.75,0.5,1.5
neg3113,63,5406,0.988480527,pos3113,1352,476,0.739606127,2,1,0.5,1.5
neg4313,8,5461,0.99853721,pos4313,1350,478,0.738512035,2.5,2,0.5,1.5
neg4413,8,5461,0.99853721,pos4413,1350,478,0.738512035,2.5,2.5,0.5,1.5
neg4213,10,5459,0.998171512,pos4213,1350,478,0.738512035,2.5,1.5,0.5,1.5
neg4013,11,5458,0.997988663,pos4013,1350,478,0.738512035,2.5,0.75,0.5,1.5
neg4113,11,5458,0.997988663,pos4113,1350,478,0.738512035,2.5,1,0.5,1.5
neg3320,47,5422,0.991406107,pos3320,1005,823,0.549781182,2,2,0.75,0.5
neg3420,47,5422,0.991406107,pos3420,1005,823,0.549781182,2,2.5,0.75,0.5
neg3020,48,5421,0.991223258,pos3020,1005,823,0.549781182,2,0.75,0.75,0.5
neg3120,48,5421,0.991223258,pos3120,1005,823,0.549781182,2,1,0.75,0.5
neg3220,48,5421,0.991223258,pos3220,1005,823,0.549781182,2,1.5,0.75,0.5
neg2420,94,5375,0.982812214,pos2420,1005,823,0.549781182,1.5,2.5,0.75,0.5
neg2320,100,5369,0.981715122,pos2320,1005,823,0.549781182,1.5,2,0.75,0.5
neg2020,109,5360,0.980069483,pos2020,1005,823,0.549781182,1.5,0.75,0.75,0.5
neg2120,109,5360,0.980069483,pos2120,1005,823,0.549781182,1.5,1,0.75,0.5
neg2220,109,5360,0.980069483,pos2220,1005,823,0.549781182,1.5,1.5,0.75,0.5
neg1420,120,5349,0.978058146,pos1420,1005,823,0.549781182,1,2.5,0.75,0.5
neg1320,128,5341,0.976595356,pos1320,1005,823,0.549781182,1,2,0.75,0.5
neg0420,131,5338,0.976046809,pos0420,1005,823,0.549781182,0.75,2.5,0.75,0.5
neg0320,151,5318,0.972389834,pos0320,1005,823,0.549781182,0.75,2,0.75,0.5
neg1220,398,5071,0.927226184,pos1220,1005,823,0.549781182,1,1.5,0.75,0.5
neg0220,444,5025,0.91881514,pos0220,1005,823,0.549781182,0.75,1.5,0.75,0.5
neg1020,742,4727,0.864326202,pos1020,1005,823,0.549781182,1,0.75,0.75,0.5
neg1120,742,4727,0.864326202,pos1120,1005,823,0.549781182,1,1,0.75,0.5
neg0020,850,4619,0.844578534,pos0020,1005,823,0.549781182,0.75,0.75,0.75,0.5
neg0120,850,4619,0.844578534,pos0120,1005,823,0.549781182,0.75,1,0.75,0.5
neg4020,6,5463,0.998902907,pos4020,1000,828,0.547045952,2.5,0.75,0.75,0.5
neg4120,6,5463,0.998902907,pos4120,1000,828,0.547045952,2.5,1,0.75,0.5
neg4220,6,5463,0.998902907,pos4220,1000,828,0.547045952,2.5,1.5,0.75,0.5
neg4320,6,5463,0.998902907,pos4320,1000,828,0.547045952,2.5,2,0.75,0.5
neg4420,6,5463,0.998902907,pos4420,1000,828,0.547045952,2.5,2.5,0.75,0.5
neg3321,47,5422,0.991406107,pos3321,999,829,0.546498906,2,2,0.75,0.75
neg3421,47,5422,0.991406107,pos3421,999,829,0.546498906,2,2.5,0.75,0.75
neg3021,48,5421,0.991223258,pos3021,999,829,0.546498906,2,0.75,0.75,0.75
neg3121,48,5421,0.991223258,pos3121,999,829,0.546498906,2,1,0.75,0.75
neg3221,48,5421,0.991223258,pos3221,999,829,0.546498906,2,1.5,0.75,0.75
neg2421,94,5375,0.982812214,pos2421,999,829,0.546498906,1.5,2.5,0.75,0.75
neg2321,100,5369,0.981715122,pos2321,999,829,0.546498906,1.5,2,0.75,0.75
neg2021,109,5360,0.980069483,pos2021,999,829,0.546498906,1.5,0.75,0.75,0.75
neg2121,109,5360,0.980069483,pos2121,999,829,0.546498906,1.5,1,0.75,0.75
neg2221,109,5360,0.980069483,pos2221,999,829,0.546498906,1.5,1.5,0.75,0.75
neg1421,120,5349,0.978058146,pos1421,999,829,0.546498906,1,2.5,0.75,0.75
neg1321,128,5341,0.976595356,pos1321,999,829,0.546498906,1,2,0.75,0.75
neg0421,131,5338,0.976046809,pos0421,999,829,0.546498906,0.75,2.5,0.75,0.75
neg0321,151,5318,0.972389834,pos0321,999,829,0.546498906,0.75,2,0.75,0.75
neg1221,398,5071,0.927226184,pos1221,999,829,0.546498906,1,1.5,0.75,0.75
neg0221,444,5025,0.91881514,pos0221,999,829,0.546498906,0.75,1.5,0.75,0.75
neg1021,742,4727,0.864326202,pos1021,999,829,0.546498906,1,0.75,0.75,0.75
neg1121,742,4727,0.864326202,pos1121,999,829,0.546498906,1,1,0.75,0.75
neg0021,850,4619,0.844578534,pos0021,999,829,0.546498906,0.75,0.75,0.75,0.75
neg0121,850,4619,0.844578534,pos0121,999,829,0.546498906,0.75,1,0.75,0.75
neg4021,6,5463,0.998902907,pos4021,995,833,0.544310722,2.5,0.75,0.75,0.75
neg4121,6,5463,0.998902907,pos4121,995,833,0.544310722,2.5,1,0.75,0.75
neg4221,6,5463,0.998902907,pos4221,995,833,0.544310722,2.5,1.5,0.75,0.75
neg4321,6,5463,0.998902907,pos4321,995,833,0.544310722,2.5,2,0.75,0.75
neg4421,6,5463,0.998902907,pos4421,995,833,0.544310722,2.5,2.5,0.75,0.75
neg3322,47,5422,0.991406107,pos3322,991,837,0.542122538,2,2,0.75,1
neg3422,47,5422,0.991406107,pos3422,991,837,0.542122538,2,2.5,0.75,1
neg3022,48,5421,0.991223258,pos3022,991,837,0.542122538,2,0.75,0.75,1
neg3122,48,5421,0.991223258,pos3122,991,837,0.542122538,2,1,0.75,1
neg3222,48,5421,0.991223258,pos3222,991,837,0.542122538,2,1.5,0.75,1
neg2422,80,5389,0.985372097,pos2422,991,837,0.542122538,1.5,2.5,0.75,1
neg2322,86,5383,0.984275005,pos2322,991,837,0.542122538,1.5,2,0.75,1
neg2022,95,5374,0.982629366,pos2022,991,837,0.542122538,1.5,0.75,0.75,1
neg2122,95,5374,0.982629366,pos2122,991,837,0.542122538,1.5,1,0.75,1
neg2222,95,5374,0.982629366,pos2222,991,837,0.542122538,1.5,1.5,0.75,1
neg1422,106,5363,0.980618029,pos1422,991,837,0.542122538,1,2.5,0.75,1
neg1322,114,5355,0.979155239,pos1322,991,837,0.542122538,1,2,0.75,1
neg0422,117,5352,0.978606692,pos0422,991,837,0.542122538,0.75,2.5,0.75,1
neg0322,137,5332,0.974949717,pos0322,991,837,0.542122538,0.75,2,0.75,1
neg1222,384,5085,0.929786067,pos1222,991,837,0.542122538,1,1.5,0.75,1
neg0222,429,5040,0.921557872,pos0222,991,837,0.542122538,0.75,1.5,0.75,1
neg1022,728,4741,0.866886085,pos1022,991,837,0.542122538,1,0.75,0.75,1
neg1122,728,4741,0.866886085,pos1122,991,837,0.542122538,1,1,0.75,1
neg0022,835,4634,0.847321265,pos0022,991,837,0.542122538,0.75,0.75,0.75,1
neg0122,835,4634,0.847321265,pos0122,991,837,0.542122538,0.75,1,0.75,1
neg4022,6,5463,0.998902907,pos4022,987,841,0.539934354,2.5,0.75,0.75,1
neg4122,6,5463,0.998902907,pos4122,987,841,0.539934354,2.5,1,0.75,1
neg4222,6,5463,0.998902907,pos4222,987,841,0.539934354,2.5,1.5,0.75,1
neg4322,6,5463,0.998902907,pos4322,987,841,0.539934354,2.5,2,0.75,1
neg4422,6,5463,0.998902907,pos4422,987,841,0.539934354,2.5,2.5,0.75,1
neg3323,34,5435,0.993783141,pos3323,974,854,0.532822757,2,2,0.75,1.5
neg3423,34,5435,0.993783141,pos3423,974,854,0.532822757,2,2.5,0.75,1.5
neg3023,35,5434,0.993600293,pos3023,974,854,0.532822757,2,0.75,0.75,1.5
neg3123,35,5434,0.993600293,pos3123,974,854,0.532822757,2,1,0.75,1.5
neg3223,35,5434,0.993600293,pos3223,974,854,0.532822757,2,1.5,0.75,1.5
neg2423,49,5420,0.99104041,pos2423,974,854,0.532822757,1.5,2.5,0.75,1.5
