FID,Shape,Shape_Leng,Shape_Area,RATIO,CONVEX,PERIM,AREA,MAJORITY,SCORE
7481,Polygon ZM,1487.070625,3.719134,48.4752,0.514952,765.77,8.14164,71,23.51279881
7513,Polygon ZM,3435.59242,12.812984,60.3372,0.54496,1872.26,28.0054,71,27.45583949
7517,Polygon ZM,1189.49753,2.947312,43.5571,0.649198,772.22,6.62663,71,15.27991779
7563,Polygon ZM,624.206638,2.042062,27.4601,0.77243,482.156,2.7067,71,6.249094957
7574,Polygon ZM,525.101288,2.061751,22.9897,0.739859,388.501,2.63981,71,5.980563548
7586,Polygon ZM,377.879088,1.444707,19.7638,0.805512,304.386,1.6566,71,3.843821934
7640,Polygon ZM,456.930277,1.078877,27.6549,0.695977,318.013,1.50272,71,8.407725663
7648,Polygon ZM,515.700995,2.23439,21.6884,0.784734,404.688,2.71594,71,4.668775114
7695,Polygon ZM,596.015558,2.25184,24.9688,0.743704,443.259,2.92547,52,6.399403565
7726,Polygon ZM,712.176952,2.232609,29.9633,0.623959,444.369,3.10833,52,11.2674293
7734,Polygon ZM,752.459689,1.770735,35.548,0.632209,475.712,3.16615,52,13.07423447
7744,Polygon ZM,309.676427,1.039331,19.0959,0.874329,270.759,1.12594,52,2.399800849
7761,Polygon ZM,549.901174,1.194724,31.6271,0.64373,353.988,1.92697,71,11.26778692
7876,Polygon ZM,2932.120271,11.271316,54.9039,0.4645,1361.97,23.9201,71,29.40103845
7888,Polygon ZM,507.842327,2.116965,21.9422,0.804303,408.459,2.52111,71,4.294022713
7900,Polygon ZM,2744.436572,12.944924,47.9526,0.415029,1139.02,22.6633,71,28.05088037
7983,Polygon ZM,398.177707,1.195176,22.8965,0.760809,302.937,1.46506,71,5.476636732
7984,Polygon ZM,514.229796,1.117433,30.5812,0.631393,324.681,1.64725,71,11.27244439
7986,Polygon ZM,1424.963412,4.026504,44.6425,0.514661,733.373,7.63882,71,21.66674631
7988,Polygon ZM,483.247282,1.059588,29.5127,0.689163,333.036,1.70497,71,9.17363913
8017,Polygon ZM,950.140868,2.738615,36.0937,0.827604,786.34,4.24288,71,6.222409505
8023,Polygon ZM,590.242857,1.464892,30.6575,0.686514,405.21,2.32262,71,9.610697045
8033,Polygon ZM,461.634328,1.484014,23.8225,0.826228,381.415,1.76347,71,4.13968347
8036,Polygon ZM,822.560245,2.216225,34.7352,0.755422,621.38,3.62305,71,8.495465746
8042,Polygon ZM,3560.455945,8.894797,75.0492,0.887914,3161.38,16.7677,71,8.411964631
8047,Polygon ZM,2394.652863,10.288553,46.9325,0.426083,1020.32,18.8816,71,26.9353596
8049,Polygon ZM,857.125122,2.85433,31.8934,0.814585,698.201,4.24297,71,5.913514761
8061,Polygon ZM,549.834603,1.964983,24.6582,0.730023,401.392,2.58145,71,6.657146861
8066,Polygon ZM,1048.556339,2.292462,43.5361,0.484856,508.399,3.97809,71,22.4273607
8069,Polygon ZM,2592.834392,8.400109,56.2394,0.362956,941.086,14.5461,71,35.82697233
8096,Polygon ZM,544.63652,1.345725,29.5146,0.654984,356.728,2.05704,71,10.18300923
8131,Polygon ZM,1668.055491,5.151906,46.1993,0.46272,771.842,10.1789,52,24.8219599
8136,Polygon ZM,1629.207693,5.555797,43.4522,0.540092,879.922,11.1981,52,19.9840144
8144,Polygon ZM,502.965866,1.922519,22.804,0.755845,380.164,2.41276,71,5.56771062
8156,Polygon ZM,1589.435911,5.998154,40.7984,0.643581,1022.93,11.0447,71,14.54132493
8178,Polygon ZM,620.508511,1.634132,30.5149,0.622617,386.339,2.32623,71,11.51580451
8189,Polygon ZM,731.814429,1.518035,37.3395,0.711081,520.379,3.51646,71,10.788091
8223,Polygon ZM,458.009062,1.634155,22.5235,0.767895,351.703,2.05711,71,5.227816968
8235,Polygon ZM,537.089934,1.056954,32.8418,0.805953,432.869,1.71995,71,6.372852765
8241,Polygon ZM,468.811197,1.615134,23.1901,0.758713,355.693,2.01892,71,5.595469659
8242,Polygon ZM,1177.802558,4.998558,33.1176,0.628604,740.371,7.1614,71,12.29974417
8249,Polygon ZM,3791.56938,12.670429,66.9625,0.439356,1665.85,32.5125,71,37.54212385
8256,Polygon ZM,518.328993,1.191465,29.852,0.646832,335.272,1.86407,71,10.54277114
8267,Polygon ZM,654.716171,1.557356,32.9813,0.625958,409.825,2.5283,71,12.33639141
8280,Polygon ZM,445.195391,1.056843,27.2241,0.828996,369.065,1.52762,71,4.655429996
8285,Polygon ZM,478.042242,1.191398,27.5325,0.686508,328.18,1.82553,71,8.63121849
8291,Polygon ZM,790.283486,1.767841,37.3654,0.646355,510.804,3.22824,71,13.21408688
8301,Polygon ZM,721.197407,2.672294,27.7345,0.649279,468.258,3.40285,71,9.727071575
8308,Polygon ZM,1455.686147,4.996514,40.9395,0.528321,769.07,9.78166,71,19.31030242
8324,Polygon ZM,1137.567338,5.671958,30.0275,0.62711,713.38,8.16185,71,11.19695448
8338,Polygon ZM,1122.709226,4.266139,34.171,0.671281,753.653,6.87967,71,11.23265695
8346,Polygon ZM,1428.493598,4.009249,44.8493,0.835552,1193.58,6.58257,71,7.375377686
8348,Polygon ZM,2357.469841,7.802349,53.0569,0.43601,1027.88,17.4496,71,29.92356103
8358,Polygon ZM,895.676765,2.056148,39.2674,0.653505,585.329,4.96742,71,13.60595776
8398,Polygon ZM,1085.779725,3.26704,37.7636,0.570422,619.353,6.34191,71,16.22241176
8402,Polygon ZM,1926.425059,6.1121,48.9853,0.421063,811.146,11.1094,71,28.35940263
8404,Polygon ZM,782.909847,2.575388,30.6689,0.600151,469.864,3.92074,71,12.262929
8412,Polygon ZM,1717.802521,10.151491,33.8935,0.638513,1096.84,14.2178,71,12.25205963
8413,Polygon ZM,452.057222,1.827863,21.0199,0.801069,362.129,2.2223,71,4.181509727
8427,Polygon ZM,430.708553,1.040868,26.5396,0.82921,357.148,1.34927,71,4.532698284
8477,Polygon ZM,498.294176,1.480423,25.7455,0.728154,362.835,2.02837,71,6.998811193
8527,Polygon ZM,1047.448219,4.285727,31.8074,0.588695,616.628,6.3229,71,13.08254266
8588,Polygon ZM,527.101641,1.018373,32.8359,0.815985,430.107,1.37385,71,6.042298139
8618,Polygon ZM,700.866401,2.08359,30.5237,0.944191,661.752,2.57555,71,1.703497173
8656,Polygon ZM,1458.165355,3.490483,49.0651,0.495999,723.249,7.52094,71,24.72885947
8836,Polygon ZM,358.906113,1.026412,22.2704,0.805397,289.062,1.24912,71,4.333886651
8908,Polygon ZM,495.205966,1.13181,29.2622,1,495.206,1.13181,52,0
9214,Polygon ZM,743.520715,4.35315,22.4027,0.732803,544.854,5.29991,71,5.985934232
9275,Polygon ZM,335.597549,1.08536,20.2507,0.801287,268.91,1.29257,71,4.024077349
9339,Polygon ZM,958.635743,4.680154,27.8569,0.716094,686.473,6.43763,71,7.908741051
9552,Polygon ZM,634.153504,3.461053,21.4288,0.814722,516.659,4.04751,71,3.970285206
9553,Polygon ZM,728.620358,2.633383,28.2262,0.738492,538.08,4.09423,71,7.38137711
9559,Polygon ZM,884.900102,2.709366,33.7963,0.725412,641.917,5.31303,71,9.280058424
9564,Polygon ZM,916.871744,2.556678,36.0478,0.841611,771.649,4.83466,71,5.709574994
9566,Polygon ZM,1196.27118,3.976796,37.7113,0.765826,916.136,7.09871,71,8.831005966
9673,Polygon ZM,528.238254,2.00832,23.4327,0.735818,388.687,2.58352,71,6.190497551
9702,Polygon ZM,435.487969,1.56432,21.8888,0.912294,397.293,1.72848,71,1.919779093
9708,Polygon ZM,435.487653,1.73813,20.7655,0.910457,396.493,1.82504,71,1.859405167
9712,Polygon ZM,435.48795,1.796073,20.4278,0.924965,402.811,1.86367,71,1.532799973
9790,Polygon ZM,362.330341,1.167892,21.0771,0.809532,293.318,1.43067,71,4.014513083
9844,Polygon ZM,354.152147,1.398095,18.8291,0.936905,331.807,1.44597,71,1.188022065
9975,Polygon ZM,527.415205,2.09138,22.9269,0.833078,439.378,2.72455,71,3.827004002
9979,Polygon ZM,374.462161,1.036101,23.1268,0.852975,319.407,1.25675,71,3.40021777
9993,Polygon ZM,299.146789,1.011334,18.7002,0.840517,251.438,1.10674,71,2.982363997
10000,Polygon ZM,578.171685,1.354871,31.226,0.615473,355.849,2.08956,71,12.0072401
10018,Polygon ZM,1117.644163,7.312535,25.9823,0.752777,841.337,10.5604,71,6.423422153
10019,Polygon ZM,395.854855,1.264099,22.1337,0.871544,345.005,1.41968,71,2.843206567
10027,Polygon ZM,375.836801,1.497472,19.3076,0.834572,313.663,1.68946,71,3.194017653
10041,Polygon ZM,667.401389,1.062962,40.6946,0.756187,504.68,2.43101,71,9.92187251
10070,Polygon ZM,503.406038,1.633609,24.7601,0.711195,358.02,2.03709,71,7.150840681
10076,Polygon ZM,542.385131,1.831113,25.1976,0.764966,414.906,2.24459,71,5.922292718
10087,Polygon ZM,320.478188,1.058554,19.5817,0.815712,261.418,1.21253,71,3.60867233
10127,Polygon ZM,480.249759,1.380259,25.6978,0.861208,413.595,1.69131,71,3.566649058
10165,Polygon ZM,340.270512,1.132799,20.0982,0.918525,312.547,1.19139,71,1.637500845
10171,Polygon ZM,1264.135355,5.515639,33.838,0.69187,874.617,9.59769,52,10.42650294
10211,Polygon ZM,394.24563,1.043595,24.261,0.84093,331.533,1.53585,71,3.85919727
10239,Polygon ZM,487.662268,1.279854,27.0986,0.801503,390.863,2.14621,52,5.378990804
10250,Polygon ZM,869.699325,3.0539,31.286,0.642688,558.945,4.61003,71,11.17886323
10271,Polygon ZM,496.125904,1.92585,22.4745,0.889893,441.499,2.1982,71,2.474599772
10290,Polygon ZM,2027.559168,3.796722,65.415,0.729971,1480.06,7.13152,71,17.66394704
10295,Polygon ZM,565.767046,2.144956,24.2849,0.792049,448.115,2.5521,71,5.05006924
10306,Polygon ZM,405.007499,1.391682,21.5825,0.804973,326.02,1.72966,52,4.209170228
10309,Polygon ZM,677.273504,2.832451,25.2983,0.862333,584.035,3.59957,71,3.482741066
10313,Polygon ZM,347.977338,1.199848,19.9708,0.835658,290.79,1.31787,71,3.282041214
10318,Polygon ZM,373.419778,1.478743,19.3045,0.821858,306.898,1.65386,71,3.438942239
10342,Polygon ZM,3414.914001,8.536175,73.4779,0.717532,2450.31,25.3368,71,20.75515546
10344,Polygon ZM,701.072827,4.754218,20.2131,0.788667,552.913,5.48641,52,4.271695062
10345,Polygon ZM,397.497394,1.01684,24.7809,0.800687,318.271,1.31591,71,4.939155522
10357,Polygon ZM,535.873765,3.369384,18.3525,0.835307,447.619,3.65017,52,3.022528283
10371,Polygon ZM,378.074701,1.382869,20.2114,0.808568,305.699,1.59712,71,3.869108725
10390,Polygon ZM,437.417544,1.991359,19.4863,0.844859,369.556,2.26019,71,3.023124068
10399,Polygon ZM,509.383289,1.969306,22.819,0.756758,385.48,2.42682,71,5.550539198
10446,Polygon ZM,639.75636,3.921573,20.3092,0.808767,517.414,4.50585,71,3.883789244
10449,Polygon ZM,384.756489,1.37103,20.6572,0.809465,311.447,1.57966,71,3.935919602
10452,Polygon ZM,549.842003,2.587865,21.487,0.796347,437.865,3.22488,71,4.375892011
10474,Polygon ZM,450.958151,1.261425,25.2414,0.818138,368.946,1.72195,52,4.590451487
10475,Polygon ZM,574.418401,3.229015,20.0956,0.823314,472.927,3.79709,71,3.550611182
10560,Polygon ZM,284.975698,1.015197,17.7804,0.890293,253.712,1.12468,71,1.950634343
10562,Polygon ZM,799.093193,3.184987,28.1483,0.714178,570.695,4.28978,71,8.045403403
10578,Polygon ZM,373.245237,1.035022,23.0636,0.797628,297.711,1.42315,71,4.667426859
10668,Polygon ZM,305.749289,1.199787,17.5478,0.874628,267.417,1.28977,52,2.200002782
10704,Polygon ZM,430.320487,1.402695,22.8412,0.858079,369.249,1.60445,71,3.241645945
10732,Polygon ZM,622.202522,2.308128,25.746,0.80261,499.386,3.41451,71,5.08200294
