ID,B2,B3,B4,B5,B6,B7,Class,nbr,ndsi,ndvi,Season
2_2_4_113,0.10412392,0.10396314,0.089738935,0.28212884,0.26320314,0.13132419,scrub,0.36474434,-0.43369997,0.51736104,2
2_2_4_114,0.10445133,0.10360809,0.08915041,0.28042442,0.26171637,0.13082685,scrub,0.36376196,-0.43278867,0.51755154,2
2_2_4_115,0.1035637,0.10141121,0.09054168,0.28145143,0.25960827,0.12835065,scrub,0.3735969,-0.43819535,0.51320773,2
2_2_4_116,0.1035637,0.10141121,0.09054168,0.28145143,0.25960827,0.12835065,scrub,0.3735969,-0.43819535,0.51320773,2
2_2_4_117,0.104340374,0.10478419,0.09225882,0.2839207,0.26551098,0.13336574,scrub,0.36079526,-0.43405044,0.5094958,2
2_2_4_118,0.10353392,0.10249855,0.08865146,0.28276256,0.25392747,0.12816092,scrub,0.37622973,-0.4248537,0.5226273,2
2_2_4_119,0.10217911,0.09948063,0.08485548,0.27340996,0.24355575,0.12175834,scrub,0.38376462,-0.41999954,0.5262983,2
2_2_4_120,0.10390612,0.103341796,0.085567094,0.30022216,0.25042135,0.11987382,scrub,0.4293027,-0.41575715,0.556405,2
2_2_4_121,0.10161093,0.099658154,0.0839028,0.28288624,0.23883784,0.1163677,scrub,0.41707426,-0.41117084,0.54250103,2
2_2_4_122,0.10161093,0.099658154,0.0839028,0.28288624,0.23883784,0.1163677,scrub,0.41707426,-0.41117084,0.54250103,2
2_2_4_123,0.10054578,0.096366525,0.07979753,0.28145143,0.23604181,0.11479217,scrub,0.420598,-0.42019188,0.5582131,2
2_2_4_124,0.10152216,0.10019073,0.08538957,0.29377586,0.2464714,0.1211165,scrub,0.4161546,-0.421969,0.549592,2
2_2_4_125,0.10925821,0.10935546,0.09677337,0.29869252,0.27584237,0.14195372,scrub,0.35570213,-0.43221146,0.5105855,2
2_2_4_126,0.108338684,0.1076024,0.0976388,0.28862724,0.2741311,0.14249572,scrub,0.33895555,-0.43624333,0.49444792,2
2_2_4_127,0.108338684,0.1076024,0.0976388,0.28862724,0.2741311,0.14249572,scrub,0.33895555,-0.43624333,0.49444792,2
2_2_4_128,0.107128315,0.10542772,0.09670679,0.28209713,0.26737887,0.1381035,scrub,0.34267828,-0.43441063,0.48940977,2
2_2_4_129,0.10371904,0.10081206,0.086277194,0.28293738,0.2599079,0.13028003,scrub,0.3694359,-0.44105083,0.5326447,2
2_2_4_130,0.104866885,0.10360809,0.09000523,0.28693625,0.26027703,0.13380954,scrub,0.36394116,-0.43054506,0.52244455,2
2_2_4_131,0.10487295,0.09669139,0.08143674,0.2104741,0.16665924,0.09760478,scrub,0.36636502,-0.26568323,0.44204375,2
2_2_4_132,0.10487295,0.09669139,0.08143674,0.2104741,0.16665924,0.09760478,scrub,0.36636502,-0.26568323,0.44204375,2
2_2_4_133,0.09677337,0.08728396,0.07669084,0.1631447,0.1273087,0.07521228,scrub,0.3689106,-0.18651493,0.36047143,2
2_2_4_134,0.1065468,0.1023876,0.090584815,0.23645133,0.19620961,0.121329896,scrub,0.3217649,-0.31420925,0.44602567,2
2_2_4_135,0.11024847,0.105997905,0.099072725,0.23411122,0.23093797,0.13179019,scrub,0.27964097,-0.3708126,0.40529713,2
2_2_4_136,0.11024847,0.105997905,0.099072725,0.23411122,0.23093797,0.13179019,scrub,0.27964097,-0.3708126,0.40529713,2
2_2_4_137,0.1122054,0.10973696,0.10658163,0.2614871,0.2795722,0.16266495,scrub,0.23298755,-0.43624774,0.42086017,2
2_2_4_138,0.10629315,0.10380229,0.09390925,0.26353294,0.2598837,0.14166534,scrub,0.30076042,-0.4291653,0.4745486,2
2_2_4_139,0.103380956,0.10163312,0.088052444,0.27100626,0.25342977,0.13080177,scrub,0.34893402,-0.42752048,0.50953734,2
2_2_4_140,0.10294236,0.10158873,0.08652129,0.2761633,0.25492606,0.12673073,scrub,0.37089798,-0.4301009,0.52288413,2
2_2_4_141,0.10294236,0.10158873,0.08652129,0.2761633,0.25492606,0.12673073,scrub,0.37089798,-0.4301009,0.52288413,2
2_2_4_142,0.10272046,0.10098959,0.08513841,0.27948478,0.24880482,0.124883145,scrub,0.38232914,-0.42257747,0.5330061,2
2_2_4_143,0.10442914,0.10196598,0.08820778,0.2724922,0.2549437,0.1296687,scrub,0.3551402,-0.42861745,0.51090777,2
2_2_4_144,0.10543503,0.10196598,0.089028835,0.26805627,0.25958845,0.13409802,scrub,0.33310163,-0.4359578,0.5013579,2
2_2_4_145,0.10513924,0.10145559,0.08906346,0.26984814,0.26255962,0.13309944,scrub,0.33937094,-0.442575,0.5037025,2
2_2_4_146,0.10513924,0.10145559,0.08906346,0.26984814,0.26255962,0.13309944,scrub,0.33937094,-0.442575,0.5037025,2
2_2_4_147,0.10506355,0.10296456,0.088867806,0.27627257,0.2666871,0.13480812,scrub,0.34412816,-0.44291034,0.51324034,2
2_2_4_148,0.10370874,0.1027254,0.09044335,0.28979883,0.25707853,0.12682796,scrub,0.39116752,-0.42899233,0.52428555,2
2_2_4_149,0.10067133,0.098659575,0.082544886,0.27579182,0.23744917,0.11747723,scrub,0.4025605,-0.41293064,0.5392887,2
2_2_4_150,0.1042362,0.10304144,0.087253585,0.2984303,0.24638265,0.118032,scrub,0.43316838,-0.4102213,0.54753834,2
2_2_4_151,0.10065673,0.09741541,0.0815284,0.28224897,0.23213626,0.112484336,scrub,0.43007427,-0.4088004,0.5517676,2
2_2_4_152,0.10065673,0.09741541,0.0815284,0.28224897,0.23213626,0.112484336,scrub,0.43007427,-0.4088004,0.5517676,2
2_2_4_153,0.1025622,0.098016046,0.08401375,0.28171366,0.24321258,0.11788897,scrub,0.409969,-0.425511,0.54056627,2
2_2_4_154,0.10633753,0.10431819,0.091713905,0.29324928,0.2700164,0.13675816,scrub,0.36392653,-0.44264737,0.52351856,2
2_2_4_155,0.11182816,0.11267168,0.103896566,0.2969007,0.2909725,0.15262742,scrub,0.3209438,-0.4417277,0.4815505,2
