system:index,Class,NDVI,NDVI_variance
1_1_10_91,2,0.802472,0.041739847
1_1_10_92,2,0.802472,0.041739847
1_1_10_93,2,0.63793445,0.012822795
1_1_10_94,2,0.6549157,0.020108144
1_1_10_95,2,0.68801194,0.018688248
1_1_10_96,2,0.69062024,0.022548809
1_1_10_97,2,0.7554111,0.027098298
1_1_10_98,2,0.7554111,0.027098298
1_1_10_99,2,0.74963105,0.027140565
1_1_10_100,2,0.75814235,0.027032357
1_1_10_101,2,0.7656316,0.029385288
1_1_10_102,2,0.7722699,0.031782709
1_1_10_103,2,0.7722699,0.031782709
1_1_10_104,2,0.78292936,0.032837347
1_1_10_105,2,0.78762054,0.033528352
1_1_10_106,2,0.7885551,0.034231075
1_1_10_107,2,0.7857171,0.032137203
1_1_10_108,2,0.7857171,0.032137203
1_1_10_109,2,0.7863375,0.032913986
1_1_10_110,2,0.79335415,0.034271022
1_1_10_111,2,0.7808935,0.034948342
1_1_10_112,2,0.7844842,0.034515794
1_1_10_113,2,0.7844842,0.034515794
1_1_10_114,2,0.78839535,0.034641556
1_1_10_115,2,0.7954278,0.037284119
1_1_10_116,2,0.7978516,0.038892287
1_1_10_117,2,0.7953177,0.039814358
1_1_10_118,2,0.7953177,0.039814358
1_1_10_119,2,0.7914389,0.039189554
1_1_10_120,2,0.79408836,0.039831915
1_1_10_121,2,0.793469,0.039493818
1_1_10_122,2,0.7933617,0.040287039
1_1_10_123,2,0.64022666,0.012587959
1_1_10_124,2,0.6130233,0.019737495
1_1_10_125,2,0.71729684,0.026754477
1_1_10_126,2,0.72019637,0.02431118
1_1_10_127,2,0.7204282,0.025149767
1_1_10_128,2,0.7204282,0.025149767
1_1_10_129,2,0.74489707,0.027642752
1_1_10_130,2,0.755545,0.028421414
1_1_10_131,2,0.7661146,0.030087196
1_1_10_132,2,0.77672523,0.032215348
1_1_10_133,2,0.77672523,0.033093817
1_1_10_134,2,0.7844082,0.034040383
1_1_10_135,2,0.78634995,0.034637304
1_1_10_136,2,0.7810712,0.033589198
1_1_10_137,2,0.784954,0.033681654
1_1_10_138,2,0.784954,0.033681654
1_1_10_139,2,0.79373175,0.035339513
1_1_10_140,2,0.78895676,0.035862985
1_1_10_141,2,0.77889407,0.034541235
1_1_10_142,2,0.7894166,0.035691801
1_1_10_143,2,0.7894166,0.035691801
1_1_10_144,2,0.79655755,0.036434329
1_1_10_145,2,0.79410726,0.036708572
1_1_10_146,2,0.7951554,0.038565907
1_1_10_147,2,0.787518,0.038513355
1_1_10_148,2,0.787518,0.038513355
1_1_10_149,2,0.785382,0.036635149
1_1_10_150,2,0.79641145,0.038450742
1_1_10_151,2,0.80069786,0.04004271
1_1_10_152,2,0.79529124,0.040998509
1_1_10_153,2,0.5652378,0.010220033
1_1_10_154,2,0.6432641,0.023561053
1_1_10_155,2,0.7022456,0.026392569
1_1_10_156,2,0.72120905,0.033113153
1_1_10_157,2,0.669576,0.020350836
1_1_10_158,2,0.669576,0.020350836
1_1_10_159,2,0.73448896,0.026363099
1_1_10_160,2,0.75015277,0.027557094
1_1_10_161,2,0.758831,0.030059602
1_1_10_162,2,0.77192336,0.03168166
1_1_10_163,2,0.77192336,0.032943075
1_1_10_164,2,0.7791157,0.033227633
1_1_10_165,2,0.77909595,0.033633815
1_1_10_166,2,0.77796894,0.032615492
1_1_10_167,2,0.7809782,0.033035896
1_1_10_168,2,0.7809782,0.033035896
1_1_10_169,2,0.7869889,0.035813234
1_1_10_170,2,0.7813696,0.034475749
1_1_10_171,2,0.77650124,0.032168185
1_1_10_172,2,0.785934,0.034142337
1_1_10_173,2,0.785934,0.034142337
1_1_10_174,2,0.79119617,0.033648707
1_1_10_175,2,0.7912961,0.037173754
1_1_10_176,2,0.7863456,0.037640519
1_1_10_177,2,0.78003836,0.037395217
1_1_10_178,2,0.78003836,0.037395217
1_1_10_179,2,0.78607327,0.037075989
1_1_10_180,2,0.79166967,0.037664206
1_1_10_181,2,0.79962176,0.039659181
1_1_10_182,2,0.7908809,0.039942874
1_1_10_183,2,0.61898136,0.018729927
1_1_10_184,2,0.6624968,0.028184554
1_1_10_185,2,0.69712645,0.025053351
1_1_10_186,2,0.6810481,0.03060131
1_1_10_187,2,0.6586181,0.020500957
1_1_10_188,2,0.6586181,0.020500957
1_1_10_189,2,0.6319826,0.018208142
1_1_10_190,2,0.74597573,0.024855693
1_1_10_191,2,0.75252986,0.0277159
1_1_10_192,2,0.76476514,0.029389189
1_1_10_193,2,0.76476514,0.031007894
1_1_10_194,2,0.7736376,0.032272353
1_1_10_195,2,0.7749014,0.032062983
1_1_10_196,2,0.7752348,0.031095791
1_1_10_197,2,0.7777598,0.032574366
1_1_10_198,2,0.7777598,0.032574366
1_1_10_199,2,0.78269476,0.03396451
1_1_10_200,2,0.78138715,0.034281284
1_1_10_201,2,0.77403826,0.033928324
1_1_10_202,2,0.78517956,0.034278329
1_1_10_203,2,0.78517956,0.034278329
1_1_10_204,2,0.7827195,0.032765032
1_1_10_205,2,0.787234,0.036061817
1_1_10_206,2,0.78286546,0.036448191
1_1_10_207,2,0.776073,0.035879883
1_1_10_208,2,0.776073,0.035879883
1_1_10_209,2,0.78402424,0.037684732
1_1_10_210,2,0.7884665,0.037689274
1_1_10_211,2,0.78576136,0.037952537
